ZipCode,State,TaxRegionName,CombinedRate
35032,AL,CHILDERSBURG PJ,0.08
35033,AL,CULLMAN COUNTY,0.085
35034,AL,BIBB COUNTY,0.08
35035,AL,BIBB COUNTY,0.08
35036,AL,GARDENDALE,0.1
35038,AL,DORA,0.08
35040,AL,CALERA (SHELBY CO),0.09
35042,AL,CENTREVILLE,0.09
35043,AL,CHELSEA,0.09
35044,AL,CHILDERSBURG,0.09
35045,AL,CLANTON,0.09
35046,AL,CHILTON COUNTY,0.06
35048,AL,CLAY,0.1
35049,AL,CLEVELAND PJ,0.07
35051,AL,SHELBY COUNTY,0.05
35052,AL,ST. CLAIR COUNTY,0.06
35053,AL,CULLMAN COUNTY,0.085
35054,AL,ST. CLAIR COUNTY,0.06
35055,AL,CULLMAN,0.09
35056,AL,CULLMAN,0.09
35057,AL,CULLMAN COUNTY,0.085
35058,AL,CULLMAN COUNTY,0.085
35060,AL,ADAMSVILLE PJ,0.08
35061,AL,BIRMINGHAM (JEFFERSON CO),0.1
35062,AL,DORA,0.08
35063,AL,WALKER COUNTY,0.06
35064,AL,FAIRFIELD,0.1
35068,AL,FULTONDALE,0.1
35070,AL,CULLMAN COUNTY,0.085
35071,AL,GARDENDALE,0.1
35072,AL,CLAY COUNTY,0.06
35073,AL,GRAYSVILLE,0.1
35074,AL,WOODSTOCK PJ,0.09
35077,AL,CULLMAN COUNTY,0.085
35078,AL,HARPERSVILLE,0.09
35079,AL,BLOUNT COUNTY,0.06
35080,AL,HELENA (SHELBY CO),0.09
35082,AL,CLAY COUNTY,0.06
35083,AL,CULLMAN COUNTY,0.085
35085,AL,CHILTON COUNTY,0.06
35087,AL,CULLMAN COUNTY,0.085
35089,AL,COOSA COUNTY,0.06
35091,AL,KIMBERLY,0.1
35094,AL,LEEDS (JEFFERSON CO),0.1
35096,AL,LINCOLN,0.1
35097,AL,LOCUST FORK,0.08
35098,AL,CULLMAN COUNTY,0.085
35111,AL,JEFFERSON COUNTY,0.06
35112,AL,MARGARET,0.1
35114,AL,ALABASTER,0.09
35115,AL,MONTEVALLO,0.09
35116,AL,MORRIS,0.1
35117,AL,JEFFERSON COUNTY,0.06
35118,AL,JEFFERSON COUNTY,0.06
35119,AL,GARDENDALE,0.1
35120,AL,ODENVILLE,0.09
35121,AL,ONEONTA,0.09
35123,AL,PINSON,0.1
35124,AL,PELHAM,0.09
35125,AL,ST. CLAIR COUNTY,0.06
35126,AL,JEFFERSON COUNTY,0.06
35127,AL,PLEASANT GROVE,0.1
35128,AL,PELL,0.1
35130,AL,WALKER COUNTY,0.06
35131,AL,RAGLAND,0.1
35133,AL,BLOUNT COUNTY,0.06
35135,AL,RIVERSIDE,0.1
35136,AL,ROCKFORD,0.08
35137,AL,CALERA PJ (SHELBY CO),0.07
35139,AL,ADAMSVILLE PJ,0.08
35142,AL,HOOVER (JEFFERSON CO),0.09
35143,AL,SHELBY COUNTY,0.05
35146,AL,ST. CLAIR COUNTY,0.06
35147,AL,SHELBY COUNTY,0.05
35148,AL,SUMITON (WALKER CO),0.095
35149,AL,TALLADEGA COUNTY,0.07
35150,AL,SYLACAUGA,0.08
35151,AL,TALLADEGA COUNTY,0.07
35160,AL,TALLADEGA,0.1
35171,AL,THORSBY,0.09
35172,AL,BLOUNT COUNTY,0.06
35173,AL,TRUSSVILLE (JEFFERSON CO),0.1
35175,AL,MARSHALL COUNTY,0.05
35176,AL,SHELBY COUNTY,0.05
35178,AL,VINCENT (SHELBY CO),0.09
35179,AL,CULLMAN COUNTY,0.085
35180,AL,BLOUNT COUNTY,0.06
35181,AL,FULTONDALE PJ,0.08
35182,AL,ST. CLAIR COUNTY,0.06
35183,AL,COOSA COUNTY,0.06
35184,AL,BIBB COUNTY,0.08
35185,AL,WESTOVER PJ,0.07
35186,AL,WILSONVILLE,0.08
35187,AL,WILTON,0.08
35188,AL,WOODSTOCK (BIBB CO),0.1
35201,AL,BIRMINGHAM (JEFFERSON CO),0.1
35202,AL,BIRMINGHAM (JEFFERSON CO),0.1
35203,AL,BIRMINGHAM (JEFFERSON CO),0.1
35204,AL,BIRMINGHAM (JEFFERSON CO),0.1
35205,AL,BIRMINGHAM (JEFFERSON CO),0.1
35206,AL,BIRMINGHAM (JEFFERSON CO),0.1
35207,AL,BIRMINGHAM (JEFFERSON CO),0.1
35208,AL,BIRMINGHAM (JEFFERSON CO),0.1
35209,AL,HOMEWOOD,0.09
35210,AL,IRONDALE,0.1
35211,AL,BIRMINGHAM (JEFFERSON CO),0.1
35212,AL,BIRMINGHAM (JEFFERSON CO),0.1
35213,AL,MOUNTAIN BROOK,0.09
35214,AL,JEFFERSON COUNTY,0.06
35215,AL,CENTER POINT,0.08
35216,AL,VESTAVIA HILLS (JEFFERSON CO),0.09
35217,AL,TARRANT,0.1
35218,AL,BIRMINGHAM (JEFFERSON CO),0.1
35219,AL,HOMEWOOD,0.09
35220,AL,CENTER POINT,0.08
35221,AL,BIRMINGHAM (JEFFERSON CO),0.1
35222,AL,BIRMINGHAM (JEFFERSON CO),0.1
35223,AL,MOUNTAIN BROOK,0.09
35224,AL,BIRMINGHAM (JEFFERSON CO),0.1
35226,AL,HOOVER (JEFFERSON CO),0.09
35228,AL,MIDFIELD,0.1
35229,AL,HOMEWOOD,0.09
35231,AL,JEFFERSON COUNTY,0.06
35232,AL,BIRMINGHAM (JEFFERSON CO),0.1
35233,AL,BIRMINGHAM (JEFFERSON CO),0.1
35234,AL,BIRMINGHAM (JEFFERSON CO),0.1
35235,AL,BIRMINGHAM (JEFFERSON CO),0.1
35236,AL,HOOVER (JEFFERSON CO),0.09
